FUCA1 ENSG00000179163
ZNHIT1 ENSG00000106400
TTC39A ENSG00000085831
EIF2D ENSG00000143486
PSME2 ENSG00000100911
HEXA ENSG00000213614
APEX1 ENSG00000100823
TSPAN9 ENSG00000011105
COPS7A ENSG00000111652
CTDSPL ENSG00000144677
PI4KB ENSG00000143393
RNASE1 ENSG00000129538
ANKRD10 ENSG00000088448
SEC11C ENSG00000166562
COL1A2 ENSG00000164692
SOD1 ENSG00000142168
MARCKSL1 ENSG00000175130
MCM7 ENSG00000166508
PLEKHJ1 ENSG00000104886
PRDX4 ENSG00000123131
KEAP1 ENSG00000079999
COL6A1 ENSG00000142156
GGT1 ENSG00000100031
C9orf16 ENSG00000171159
PNKD ENSG00000127838
TBC1D17 ENSG00000104946
SMTN ENSG00000183963
TSPYL2 ENSG00000184205
FLOT1 ENSG00000137312
BAD ENSG00000002330
USP22 ENSG00000124422
CRYAB ENSG00000109846
ABHD12 ENSG00000100997
GSPT1 ENSG00000103342
TRIM28 ENSG00000130726
RHOT2 ENSG00000140983
SLC22A23 ENSG00000137266
PRDX5 ENSG00000126432
NDUFB1 ENSG00000183648
ERBB2 ENSG00000141736
EMC7 ENSG00000134153
NAP1L4 ENSG00000205531
NAGK ENSG00000124357
BLOC1S1 ENSG00000135441
TMEM179B ENSG00000185475
UQCRH ENSG00000173660
DCTN2 ENSG00000175203
TNS1 ENSG00000079308
AKAP1 ENSG00000121057
PTPRU ENSG00000060656
MOGS ENSG00000115275
NR2F6 ENSG00000160113
CLK2 ENSG00000176444
AP2M1 ENSG00000161203
HIPK3 ENSG00000110422
KLHDC3 ENSG00000124702
HCFC1R1 ENSG00000103145
STX5 ENSG00000162236
ATOX1 ENSG00000177556
SHC2 ENSG00000129946
UBE2G2 ENSG00000184787
USF2 ENSG00000105698
LETMD1 ENSG00000050426
CERS4 ENSG00000090661
IDH3B ENSG00000101365
PTPA ENSG00000119383
DCTN3 ENSG00000137100
PSMB4 ENSG00000159377
NUCKS1 ENSG00000069275
RXRB ENSG00000204231
DCAF8 ENSG00000132716
GDI1 ENSG00000203879
INO80E ENSG00000169592
CD14 ENSG00000170458
GORASP1 ENSG00000114745
YIF1A ENSG00000174851
SELENBP1 ENSG00000143416
SLC2A5 ENSG00000142583
MAT2A ENSG00000168906
APOE ENSG00000130203
CCNI ENSG00000118816
INTS1 ENSG00000164880
RALY ENSG00000125970
ZFP36L2 ENSG00000152518
MAP4 ENSG00000047849
PXDN ENSG00000130508
LSM7 ENSG00000130332
YWHAB ENSG00000166913
CTDSP1 ENSG00000144579
CRELD2 ENSG00000184164
C7 ENSG00000112936
WAC ENSG00000095787
STARD7 ENSG00000084090
GCAT ENSG00000100116
GSTK1 ENSG00000197448
EIF3C ENSG00000184110
JUP ENSG00000173801
EXOC7 ENSG00000182473
HSPG2 ENSG00000142798
CSTB ENSG00000160213
PATZ1 ENSG00000100105
ST13 ENSG00000100380
SERP1 ENSG00000120742
EIF6 ENSG00000242372
SHC1 ENSG00000160691
NISCH ENSG00000010322
GPC1 ENSG00000063660
LARP4B ENSG00000107929
LEMD2 ENSG00000161904
SIVA1 ENSG00000184990
CDC42BPB ENSG00000198752
BACE1 ENSG00000186318
KPNA4 ENSG00000186432
RPN1 ENSG00000163902
CAPN1 ENSG00000014216
POLR2J ENSG00000005075
CYB561A3 ENSG00000162144
RNH1 ENSG00000023191
C19orf53 ENSG00000104979
GSS ENSG00000100983
PAGE4 ENSG00000101951
DLGAP4 ENSG00000080845
TMEM141 ENSG00000244187
ACTR1B ENSG00000115073
SUN2 ENSG00000100242
SLC35A4 ENSG00000176087
ABCC4 ENSG00000125257
LARS ENSG00000133706
CDC34 ENSG00000099804
TMED1 ENSG00000099203
ELOVL1 ENSG00000066322
CYHR1 ENSG00000187954
LRP1 ENSG00000123384
PHLDB3 ENSG00000176531
RNASEH2C ENSG00000172922
TGFB1I1 ENSG00000140682
COMT ENSG00000093010
VPS28 ENSG00000160948
C16orf58 ENSG00000140688
EIF4G2 ENSG00000110321
TLE3 ENSG00000140332
TUBB ENSG00000196230
PPP2R1A ENSG00000105568
RAB11B ENSG00000185236
AKR7A2 ENSG00000053371
TMED4 ENSG00000158604
AKR1A1 ENSG00000117448
GLG1 ENSG00000090863
UTP3 ENSG00000132467
TM9SF3 ENSG00000077147
FKBP2 ENSG00000173486
SMS ENSG00000102172
SYNM ENSG00000182253
NNMT ENSG00000166741
COPZ1 ENSG00000111481
GADD45GIP1 ENSG00000179271
KIF22 ENSG00000079616
PPP1R1B ENSG00000131771
IGFBP6 ENSG00000167779
FKBP4 ENSG00000004478
CDC42EP4 ENSG00000179604
HLA-DRA ENSG00000204287
TMEM30A ENSG00000112697
MGEA5 ENSG00000198408
ELOF1 ENSG00000130165
RNF7 ENSG00000114125
ARSA ENSG00000100299
BAIAP2 ENSG00000175866
LY6E ENSG00000160932
PRSS22 ENSG00000005001
TBC1D10A ENSG00000099992
TRIOBP ENSG00000100106
SPPL2B ENSG00000005206
TMED9 ENSG00000184840
C19orf24 ENSG00000228300
NENF ENSG00000117691
DNPH1 ENSG00000112667
MIEN1 ENSG00000141741
PRPF19 ENSG00000110107
ATP13A3 ENSG00000133657
TOM1 ENSG00000100284
CECR5 ENSG00000069998
FKBP5 ENSG00000096060
SREBF2 ENSG00000198911
BCAP29 ENSG00000075790
RAB5C ENSG00000108774
SNRPN ENSG00000128739
PDCD4 ENSG00000150593
MAGED1 ENSG00000179222
GOLGB1 ENSG00000173230
PER1 ENSG00000179094
SARAF ENSG00000133872
EIF3G ENSG00000130811
PLPPR2 ENSG00000105520
PPP1R7 ENSG00000115685
C19orf70 ENSG00000174917
GDE1 ENSG00000006007
FBXW4 ENSG00000107829
YIPF2 ENSG00000130733
KRT5 ENSG00000186081
TRMT112 ENSG00000173113
SMDT1 ENSG00000183172
DNAJC1 ENSG00000136770
DGCR6L ENSG00000128185
GLTSCR2 ENSG00000105373
TP53I11 ENSG00000175274
SRSF1 ENSG00000136450
TCEA3 ENSG00000204219
SUGP2 ENSG00000064607
GOLPH3 ENSG00000113384
TXNRD2 ENSG00000184470
FUS ENSG00000089280
CSRNP1 ENSG00000144655
SLC22A17 ENSG00000092096
ATN1 ENSG00000111676
RGL2 ENSG00000237441
DNM2 ENSG00000079805
MARK2 ENSG00000072518
SSR3 ENSG00000114850
ODC1 ENSG00000115758
SERINC2 ENSG00000168528
SLC35B2 ENSG00000157593
PIN1 ENSG00000127445
MZF1 ENSG00000099326
TRAPPC3 ENSG00000054116
RAP1GAP ENSG00000076864
MAF1 ENSG00000179632
PSME1 ENSG00000092010
IMPDH2 ENSG00000178035
PSMD3 ENSG00000108344
CDK16 ENSG00000102225
TP53INP2 ENSG00000078804
CITED4 ENSG00000179862
AP1G2 ENSG00000213983
CAPS ENSG00000105519
TRAF4 ENSG00000076604
GPAA1 ENSG00000197858
PSMD8 ENSG00000099341
SUPT6H ENSG00000109111
CTSH ENSG00000103811
NFIC ENSG00000141905
BCS1L ENSG00000074582
BCL2L1 ENSG00000171552
TSC22D4 ENSG00000166925
TNKS1BP1 ENSG00000149115
OGFOD3 ENSG00000181396
LRRC41 ENSG00000132128
FAM214B ENSG00000005238
MOCS2 ENSG00000164172
ARRDC1 ENSG00000197070
LAMTOR4 ENSG00000188186
PRKCSH ENSG00000130175
OR51E2 ENSG00000167332
XAB2 ENSG00000076924
TAX1BP3 ENSG00000213977
GLUL ENSG00000135821
VASP ENSG00000125753
YPEL5 ENSG00000119801
INMT ENSG00000241644
ADGRA2 ENSG00000020181
POLR2E ENSG00000099817
KLC2 ENSG00000174996
NRBP1 ENSG00000115216
RNF10 ENSG00000022840
PKD1 ENSG00000008710
ATF4 ENSG00000128272
ZYX ENSG00000159840
C19orf48 ENSG00000167747
SF3B5 ENSG00000169976
MLF2 ENSG00000089693
ARFIP2 ENSG00000132254
SNRPB ENSG00000125835
PLEC ENSG00000178209
TMA7 ENSG00000232112
C2CD2 ENSG00000157617
UNC45A ENSG00000140553
OTUB1 ENSG00000167770
EMILIN1 ENSG00000138080
PDAP1 ENSG00000106244
ZNF652 ENSG00000198740
SMARCD2 ENSG00000108604
SFN ENSG00000175793
WDR6 ENSG00000178252
EMC10 ENSG00000161671
PNPLA2 ENSG00000177666
CCT3 ENSG00000163468
PYCR1 ENSG00000183010
NDUFA13 ENSG00000186010
KLK11 ENSG00000167757
CHD3 ENSG00000170004
CAMK1 ENSG00000134072
HNRNPA2B1 ENSG00000122566
GRN ENSG00000030582
POMGNT1 ENSG00000085998
JMJD8 ENSG00000161999
KIAA1324 ENSG00000116299
SZRD1 ENSG00000055070
NOP10 ENSG00000182117
TRIM27 ENSG00000204713
TMBIM6 ENSG00000139644
CALU ENSG00000128595
SF1 ENSG00000168066
RNF213 ENSG00000173821
FLNB ENSG00000136068
ANO7 ENSG00000146205
SNRPD2 ENSG00000125743
DUS1L ENSG00000169718
TSTA3 ENSG00000104522
TIMP2 ENSG00000035862
U2AF1L5 ENSG00000275895
HNRNPH1 ENSG00000169045
DDX24 ENSG00000089737
SPATC1L ENSG00000160284
RAB3D ENSG00000105514
RNPS1 ENSG00000205937
EHBP1L1 ENSG00000173442
LSM4 ENSG00000130520
APRT ENSG00000198931
TMEM63A ENSG00000196187
ECI1 ENSG00000167969
SCAMP2 ENSG00000140497
POLR2A ENSG00000181222
C5orf15 ENSG00000113583
PHPT1 ENSG00000054148
LAPTM4A ENSG00000068697
LUM ENSG00000139329
SREBF1 ENSG00000072310
GNB1 ENSG00000078369
RCN1 ENSG00000049449
SHISA5 ENSG00000164054
ZBTB4 ENSG00000174282
ATF3 ENSG00000162772
PYGB ENSG00000100994
BACE2 ENSG00000182240
PRRC2A ENSG00000204469
MGAT1 ENSG00000131446
SLC9A3R1 ENSG00000109062
POLDIP2 ENSG00000004142
PSMB5 ENSG00000100804
ALKBH7 ENSG00000125652
FXYD6 ENSG00000137726
PSMB7 ENSG00000136930
CCT8 ENSG00000156261
CTGF ENSG00000118523
GDI2 ENSG00000057608
RAC1 ENSG00000136238
COX6A1 ENSG00000111775
TNFRSF14 ENSG00000157873
AAMP ENSG00000127837
ADAR ENSG00000160710
KCNN4 ENSG00000104783
DYNLRB1 ENSG00000125971
LINC00116 ENSG00000175701
HMGCS2 ENSG00000134240
ADPGK ENSG00000159322
GNAI2 ENSG00000114353
ERGIC3 ENSG00000125991
PHB ENSG00000167085
STUB1 ENSG00000103266
EVL ENSG00000196405
RAB34 ENSG00000109113
PCBP2 ENSG00000197111
PGLS ENSG00000130313
BIK ENSG00000100290
VMP1 ENSG00000062716
NFIB ENSG00000147862
GAS6 ENSG00000183087
SLC25A39 ENSG00000013306
PHGR1 ENSG00000233041
CHD4 ENSG00000111642
HLA-E ENSG00000204592
HOMER2 ENSG00000103942
SMARCC1 ENSG00000173473
COL16A1 ENSG00000084636
MLPH ENSG00000115648
ANTXR2 ENSG00000163297
WBP2 ENSG00000132471
COX5B ENSG00000135940
ENG ENSG00000106991
NECTIN2 ENSG00000130202
DDX5 ENSG00000108654
TUBGCP2 ENSG00000130640
ENSA ENSG00000143420
CORO1B ENSG00000172725
TMEM109 ENSG00000110108
CSNK1D ENSG00000141551
GTF3C1 ENSG00000077235
AEBP1 ENSG00000106624
DNAJB1 ENSG00000132002
RHBDD2 ENSG00000005486
FOXP1 ENSG00000114861
ASAH1 ENSG00000104763
THYN1 ENSG00000151500
SEC61A1 ENSG00000058262
HADHA ENSG00000084754
MESP1 ENSG00000166823
UBXN6 ENSG00000167671
BTBD2 ENSG00000133243
PACSIN2 ENSG00000100266
SH3GLB2 ENSG00000148341
DPM3 ENSG00000179085
CREB3L1 ENSG00000157613
PEX10 ENSG00000157911
PSMC3 ENSG00000165916
AMACR ENSG00000242110
SPARCL1 ENSG00000152583
DYNLL2 ENSG00000264364
SPSB3 ENSG00000162032
IP6K2 ENSG00000068745
ITM2B ENSG00000136156
CTTN ENSG00000085733
MGST3 ENSG00000143198
MYO1C ENSG00000197879
S100A4 ENSG00000196154
LIMS2 ENSG00000072163
ID3 ENSG00000117318
AUP1 ENSG00000115307
TMEM259 ENSG00000182087
OST4 ENSG00000228474
COX5A ENSG00000178741
UQCRC1 ENSG00000010256
CAPZB ENSG00000077549
HIST1H1C ENSG00000187837
TRAPPC6A ENSG00000007255
GMDS ENSG00000112699
ARPC3 ENSG00000111229
VIM ENSG00000026025
SLC25A1 ENSG00000100075
TRABD ENSG00000170638
TRIB1 ENSG00000173334
NUCB1 ENSG00000104805
PLPP2 ENSG00000141934
CHMP1A ENSG00000131165
OAZ1 ENSG00000104904
DYNLT1 ENSG00000146425
SKP1 ENSG00000113558
DAP ENSG00000112977
RRAS ENSG00000126458
CLPTM1 ENSG00000104853
EIF3H ENSG00000147677
TSPO ENSG00000100300
NDRG2 ENSG00000165795
CDC37 ENSG00000105401
VSIG2 ENSG00000019102
KIAA0319L ENSG00000142687
AP2S1 ENSG00000042753
SNU13 ENSG00000100138
ECH1 ENSG00000104823
ROMO1 ENSG00000125995
RARRES2 ENSG00000106538
PIEZO1 ENSG00000103335
NDUFB8 ENSG00000166136
BRI3 ENSG00000164713
CRACR2B ENSG00000177685
MBOAT7 ENSG00000125505
MXRA7 ENSG00000182534
ARSD ENSG00000006756
SF3B2 ENSG00000087365
MAP2K2 ENSG00000126934
NDUFB9 ENSG00000147684
PRDX1 ENSG00000117450
TNFSF10 ENSG00000121858
GSK3A ENSG00000105723
FBXW5 ENSG00000159069
GADD45G ENSG00000130222
SELM ENSG00000198832
MKNK2 ENSG00000099875
DDX6 ENSG00000110367
NDUFB7 ENSG00000099795
H1F0 ENSG00000189060
MYLK ENSG00000065534
SFTPA2 ENSG00000185303
MYL12B ENSG00000118680
FGFR1 ENSG00000077782
ATP6V0E1 ENSG00000113732
MXD4 ENSG00000123933
HMGCS1 ENSG00000112972
TAF10 ENSG00000166337
ILK ENSG00000166333
C3 ENSG00000125730
IFI6 ENSG00000126709
ACSS1 ENSG00000154930
CPSF3L ENSG00000127054
NEDD8 ENSG00000129559
PGM5 ENSG00000154330
FLOT2 ENSG00000132589
TGM2 ENSG00000198959
AQP3 ENSG00000165272
CHCHD2 ENSG00000106153
RPN2 ENSG00000118705
MAEA ENSG00000090316
FAM129B ENSG00000136830
PA2G4 ENSG00000170515
CHPF ENSG00000123989
MDK ENSG00000110492
PDIA6 ENSG00000143870
SCAND1 ENSG00000171222
SEC16A ENSG00000148396
LRP10 ENSG00000197324
CCNL2 ENSG00000221978
ZBTB7B ENSG00000160685
GSN ENSG00000148180
TMEM134 ENSG00000172663
RER1 ENSG00000157916
TMEM205 ENSG00000105518
EIF4G1 ENSG00000114867
TMEFF2 ENSG00000144339
DPP7 ENSG00000176978
ARHGAP1 ENSG00000175220
DPP4 ENSG00000197635
HID1 ENSG00000167861
CHMP2A ENSG00000130724
GJB1 ENSG00000169562
NANS ENSG00000095380
SDHAF2 ENSG00000167985
ATP6V0B ENSG00000117410
LGMN ENSG00000100600
BSG ENSG00000172270
LENG8 ENSG00000167615
KHSRP ENSG00000088247
NDUFS6 ENSG00000145494
CENPB ENSG00000125817
DHCR24 ENSG00000116133
YWHAZ ENSG00000164924
GOLGA3 ENSG00000090615
NDUFA10 ENSG00000130414
PPIB ENSG00000166794
SLC38A10 ENSG00000157637
VAMP2 ENSG00000220205
BIN1 ENSG00000136717
LTBP4 ENSG00000090006
ACAA1 ENSG00000060971
CDIPT ENSG00000103502
SERPINF1 ENSG00000132386
PDIA3 ENSG00000167004
STARD10 ENSG00000214530
HPN ENSG00000105707
SURF4 ENSG00000148248
TNFRSF1A ENSG00000067182
NFIX ENSG00000008441
NUMA1 ENSG00000137497
FKBP1A ENSG00000088832
HYOU1 ENSG00000149428
GAA ENSG00000171298
DHRS3 ENSG00000162496
DPYSL3 ENSG00000113657
ALDOA ENSG00000149925
COA3 ENSG00000183978
TOM1L2 ENSG00000175662
PDLIM5 ENSG00000163110
MMP24-AS1 ENSG00000126005
C14orf2 ENSG00000156411
MORF4L2 ENSG00000123562
CCND1 ENSG00000110092
CDC42EP5 ENSG00000167617
CALM3 ENSG00000160014
EPHX2 ENSG00000120915
LGALS1 ENSG00000100097
SERPING1 ENSG00000149131
HINT1 ENSG00000169567
EIF1 ENSG00000173812
CITED2 ENSG00000164442
LAMB2 ENSG00000172037
NEDD4L ENSG00000049759
CREB3L4 ENSG00000143578
S100A10 ENSG00000197747
DYNC1LI2 ENSG00000135720
MYBPC1 ENSG00000196091
TBX3 ENSG00000135111
CDK5RAP3 ENSG00000108465
UBA1 ENSG00000130985
LTF ENSG00000012223
ERGIC1 ENSG00000113719
JTB ENSG00000143543
SSU72 ENSG00000160075
NDUFS5 ENSG00000168653
MIDN ENSG00000167470
PRAC1 ENSG00000159182
UQCRQ ENSG00000164405
CUTA ENSG00000112514
NAA38 ENSG00000183011
TMEM219 ENSG00000149932
COL6A2 ENSG00000142173
COPE ENSG00000105669
FAM3B ENSG00000183844
ERP29 ENSG00000089248
SPINT1 ENSG00000166145
PLXNB1 ENSG00000164050
SNRNP200 ENSG00000144028
EIF5A ENSG00000132507
SLC2A4RG ENSG00000125520
AR ENSG00000169083
ELK4 ENSG00000158711
PBXIP1 ENSG00000163346
TMED3 ENSG00000166557
BGN ENSG00000182492
TPI1 ENSG00000111669
HES4 ENSG00000188290
CEBPD ENSG00000221869
AKT1 ENSG00000142208
COX6C ENSG00000164919
KLF6 ENSG00000067082
PTBP1 ENSG00000011304
SYVN1 ENSG00000162298
SPTBN1 ENSG00000115306
TMEM9 ENSG00000116857
TM7SF2 ENSG00000149809
TLN1 ENSG00000137076
NME3 ENSG00000103024
PRDX6 ENSG00000117592
PSMB1 ENSG00000008018
COX4I1 ENSG00000131143
CYB5R3 ENSG00000100243
EIF3B ENSG00000106263
TUBA1B ENSG00000123416
CANT1 ENSG00000171302
MCL1 ENSG00000143384
TXNIP ENSG00000265972
ECHDC2 ENSG00000121310
CLIC1 ENSG00000213719
NCOR2 ENSG00000196498
GLB1L2 ENSG00000149328
AES ENSG00000104964
HERPUD1 ENSG00000051108
CSDE1 ENSG00000009307
SRSF5 ENSG00000100650
GRK2 ENSG00000173020
SLC1A5 ENSG00000105281
RRBP1 ENSG00000125844
COX7A2 ENSG00000112695
SYTL1 ENSG00000142765
RAB1B ENSG00000174903
ENTPD6 ENSG00000197586
APOD ENSG00000189058
SH3BGRL3 ENSG00000142669
MYH9 ENSG00000100345
GNAS ENSG00000087460
LAMP1 ENSG00000185896
PRPF8 ENSG00000174231
RNASET2 ENSG00000026297
CD9 ENSG00000010278
PTOV1 ENSG00000104960
GANAB ENSG00000089597
ECHS1 ENSG00000127884
C1orf116 ENSG00000182795
XBP1 ENSG00000100219
LRPAP1 ENSG00000163956
PTTG1IP ENSG00000183255
BRD2 ENSG00000204256
LMOD1 ENSG00000163431
HM13 ENSG00000101294
UBL5 ENSG00000198258
RP11-231C14.4 ENSG00000169203
NCAPD3 ENSG00000151503
TUBB4B ENSG00000188229
ADIRF ENSG00000148671
DDB1 ENSG00000167986
RHOC ENSG00000155366
DCN ENSG00000011465
CLDN4 ENSG00000189143
ANPEP ENSG00000166825
ELF3 ENSG00000163435
RAMP1 ENSG00000132329
C4B ENSG00000224389
PFDN5 ENSG00000123349
CSRP1 ENSG00000159176
NDUFB11 ENSG00000147123
MZT2A ENSG00000173272
CAPNS1 ENSG00000126247
LPCAT3 ENSG00000111684
RABAC1 ENSG00000105404
HSP90B1 ENSG00000166598
NOMO2 ENSG00000185164
AP000769.1 ENSG00000279576
MFAP4 ENSG00000166482
SYT7 ENSG00000011347
CLTA ENSG00000122705
MZT2B ENSG00000152082
GLMP ENSG00000198715
NKX3-1 ENSG00000167034
WDR83OS ENSG00000105583
PRSS8 ENSG00000052344
C12orf57 ENSG00000111678
COX8A ENSG00000176340
PABPC1 ENSG00000070756
FAAH ENSG00000117480
NACA ENSG00000196531
PLD3 ENSG00000105223
CNPY2 ENSG00000257727
HOXB13 ENSG00000159184
FAM174B ENSG00000185442
IGFBP7 ENSG00000163453
RASD1 ENSG00000108551
CHCHD10 ENSG00000250479
GOLM1 ENSG00000135052
VWA1 ENSG00000179403
PHB2 ENSG00000215021
PRDX2 ENSG00000167815
STRA13 ENSG00000169689
PTRF ENSG00000177469
ZG16B ENSG00000162078
UQCR10 ENSG00000184076
RHOA ENSG00000067560
QARS ENSG00000172053
TMEM258 ENSG00000134825
SFPQ ENSG00000116560
IFITM3 ENSG00000142089
S100A6 ENSG00000197956
AHNAK ENSG00000124942
VCP ENSG00000165280
PTPRF ENSG00000142949
C1R ENSG00000159403
HSPA8 ENSG00000109971
LAMTOR1 ENSG00000149357
NDUFA2 ENSG00000131495
ARHGDIA ENSG00000141522
UBE2M ENSG00000130725
ANXA11 ENSG00000122359
FSTL1 ENSG00000163430
NUPR1 ENSG00000176046
PKM ENSG00000067225
NME4 ENSG00000103202
DSTN ENSG00000125868
EPN1 ENSG00000063245
COPS9 ENSG00000172428
TCEB2 ENSG00000103363
RDH11 ENSG00000072042
NPC2 ENSG00000119655
SNRNP70 ENSG00000104852
DCXR ENSG00000169738
IGFBP2 ENSG00000115457
SDF4 ENSG00000078808
CTSF ENSG00000174080
SPINT2 ENSG00000167642
PGRMC2 ENSG00000164040
COX7C ENSG00000127184
HNRNPL ENSG00000104824
TSTD1 ENSG00000215845
EGR1 ENSG00000120738
CYR61 ENSG00000142871
CD99 ENSG00000002586
CTBP1 ENSG00000159692
ENO1 ENSG00000074800
NDUFA11 ENSG00000174886
CTSB ENSG00000164733
SSR2 ENSG00000163479
SEPW1 ENSG00000178980
GPX1 ENSG00000233276
TPM1 ENSG00000140416
EEF1D ENSG00000104529
ACADVL ENSG00000072778
KDELR2 ENSG00000136240
HSPB1 ENSG00000106211
ZFP36 ENSG00000128016
HSPA5 ENSG00000044574
CD151 ENSG00000177697
COL1A1 ENSG00000108821
C11orf96 ENSG00000187479
DDT ENSG00000099977
GNB2 ENSG00000172354
ADI1 ENSG00000182551
SERPINB6 ENSG00000124570
MYDGF ENSG00000074842
DBI ENSG00000155368
CYB561 ENSG00000008283
GPX4 ENSG00000167468
SQSTM1 ENSG00000161011
MAGED2 ENSG00000102316
POLR2L ENSG00000177700
COX6B1 ENSG00000126267
PPIA ENSG00000196262
PFKL ENSG00000141959
CTSD ENSG00000117984
ACTA2 ENSG00000107796
OS9 ENSG00000135506
JUND ENSG00000130522
SRP14 ENSG00000140319
HIST2H2AA4 ENSG00000272196
FAM134C ENSG00000141699
ATP6AP1 ENSG00000071553
H2AFJ ENSG00000246705
CIRBP ENSG00000099622
PTMS ENSG00000159335
PLXNB2 ENSG00000196576
LRRC26 ENSG00000184709
HIST2H2AA3 ENSG00000203812
NBL1 ENSG00000158747
KDELR1 ENSG00000105438
PLPP1 ENSG00000067113
HLA-A ENSG00000206503
LMAN2 ENSG00000169223
EZR ENSG00000092820
LMNA ENSG00000160789
H1FX ENSG00000184897
FOS ENSG00000170345
GRINA ENSG00000178719
ACTN1 ENSG00000072110
TIMP1 ENSG00000102265
EDF1 ENSG00000107223
PGC ENSG00000096088
HSP90AB1 ENSG00000096384
NPDC1 ENSG00000107281
CLU ENSG00000120885
TRPM4 ENSG00000130529
TAPBP ENSG00000231925
DUSP1 ENSG00000120129
BCAP31 ENSG00000185825
CNN1 ENSG00000130176
UQCR11 ENSG00000127540
APP ENSG00000142192
PPP1CA ENSG00000172531
AGR2 ENSG00000106541
TMSB10 ENSG00000034510
PDIA4 ENSG00000155660
SRRM2 ENSG00000167978
PEBP1 ENSG00000089220
TPSB2 ENSG00000197253
CIB1 ENSG00000185043
SYNGR2 ENSG00000108639
LGALS3BP ENSG00000108679
KRT15 ENSG00000171346
A2M ENSG00000175899
H3F3B ENSG00000132475
HNRNPK ENSG00000165119
CD74 ENSG00000019582
IER2 ENSG00000160888
BCAM ENSG00000187244
HDLBP ENSG00000115677
TPT1 ENSG00000133112
NEFH ENSG00000100285
TMSB4X ENSG00000205542
S100A11 ENSG00000163191
PTGDS ENSG00000107317
SLC25A6 ENSG00000169100
CFD ENSG00000197766
FMOD ENSG00000122176
IGFBP4 ENSG00000141753
ATP1A1 ENSG00000163399
DES ENSG00000175084
TMPRSS2 ENSG00000184012
GDF15 ENSG00000130513
YWHAE ENSG00000108953
CLSTN1 ENSG00000171603
TSC22D3 ENSG00000157514
MYL6 ENSG00000092841
PMEPA1 ENSG00000124225
UBB ENSG00000170315
APLP2 ENSG00000084234
MGP ENSG00000111341
GAPDH ENSG00000111640
CLDN3 ENSG00000165215
CFL1 ENSG00000172757
KRT18 ENSG00000111057
FTL ENSG00000087086
EEF2 ENSG00000167658
JUN ENSG00000177606
TSPAN1 ENSG00000117472
KRT8 ENSG00000170421
HLA-B ENSG00000234745
SSR4 ENSG00000180879
FASN ENSG00000169710
FBLN1 ENSG00000077942
NPY ENSG00000122585
SOD3 ENSG00000109610
JUNB ENSG00000171223
SPDEF ENSG00000124664
